TIMESTAMP,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,TA_1_1_1,RH_1_1_1,P_1_1_1,PA_1_1_1,WS_1_1_1,WD_1_1_1,VPD_1_1_1
2022-01-01 0030,,263.2279,,271.2144,-7.7627106,83.28255,0.0,102.397125,0.6597374,0.6597374,0.5728984
2022-01-01 0100,,265.9375,,274.97858,-7.2000513,82.64555,0.0,102.40342,1.4010231,1.4010231,0.6211866
2022-01-01 0130,,268.36322,,279.22833,-6.349798,79.349396,0.0,102.41769,1.6921777,1.6921777,0.78911126
2022-01-01 0200,,273.88068,,281.60062,-6.2978625,79.83266,0.0,102.4485,1.8559053,1.8559053,0.77371657
2022-01-01 0230,,277.71097,,283.53964,-6.0205812,79.85045,0.0,102.46142,2.0136266,2.0136266,0.78960496
2022-01-01 0300,,277.2797,,284.45358,-5.811514,79.45928,0.0,102.46373,2.0015748,2.0015748,0.81788254
2022-01-01 0330,,280.61926,,285.7116,-5.5582376,79.928085,0.0,102.4604,1.7488645,1.7488645,0.8147869
2022-01-01 0400,,281.6283,,286.1781,-5.5135436,79.11124,0.0,102.46761,1.4969208,1.4969208,0.8508341
2022-01-01 0430,,282.7806,,286.8751,-5.4336348,79.88253,0.0,102.4711,1.2887073,1.2887073,0.8244126
2022-01-01 0500,,281.1954,,286.51703,-5.433952,80.17383,0.0,102.454384,1.2191231,1.2191231,0.81245565
2022-01-01 0530,,280.3603,,286.263,-5.4360304,81.06796,0.0,102.452965,1.075672,1.075672,0.7756924
2022-01-01 0600,,277.636,,286.12158,-5.2794714,80.60147,0.0,102.47182,1.4637493,1.4637493,0.8043157
2022-01-01 0630,,281.07516,,287.03882,-5.1915016,79.569305,0.0,102.47315,1.5820277,1.5820277,0.8527866
2022-01-01 0700,,282.8017,,288.64236,-5.0382996,82.311035,0.0,102.4579,1.926929,1.926929,0.7469715
2022-01-01 0730,,281.42184,,288.85474,-4.7155395,82.279564,0.0,102.461815,1.611665,1.611665,0.76679975
2022-01-01 0800,,283.93594,,289.56403,-4.7957435,82.71401,0.0,102.46982,1.5823305,1.5823305,0.74347943
2022-01-01 0830,3.8047366,285.24008,3.4493353,290.81104,-4.550509,83.27904,0.0,102.46941,1.9011201,1.9011201,0.732623
2022-01-01 0900,16.002123,286.20676,13.139729,291.72644,-4.495367,84.06737,0.0,102.47555,1.3937892,1.3937892,0.70099247
2022-01-01 0930,43.851543,288.27948,35.341476,293.70068,-4.184905,85.12125,0.0,102.497536,1.3589818,1.3589818,0.67011285
2022-01-01 1000,49.095425,289.90823,39.632122,295.4099,-3.8677735,84.05271,0.0,102.47207,1.7903934,1.7903934,0.7355539
2022-01-01 1030,48.860184,290.16727,39.893936,296.17252,-3.4839969,83.20278,0.0,102.47142,1.6657852,1.6657852,0.79734933
2022-01-01 1100,70.288,291.49435,57.152645,298.1543,-3.144455,82.92345,0.0,102.45738,1.4300255,1.4300255,0.8314241
2022-01-01 1130,90.05583,292.36322,72.07901,300.03937,-2.8156302,82.26692,0.0,102.39957,1.863125,1.863125,0.88478994
2022-01-01 1200,128.21027,290.16574,100.78462,301.71762,-2.3251553,80.55582,0.0,102.374954,2.3548872,2.3548872,1.0061262
2022-01-01 1230,125.33898,289.68073,98.91897,302.54904,-1.8603625,79.2695,0.0,102.34212,2.5073647,2.5073647,1.1101756
2022-01-01 1300,118.95457,291.41202,94.42343,303.6818,-1.4465094,77.19476,0.0,102.292984,2.869253,2.869253,1.2590759
2022-01-01 1330,125.999535,292.26746,99.25172,305.1638,-0.9721432,74.40077,0.0,102.23811,2.4680529,2.4680529,1.4633852
2022-01-01 1400,106.885025,294.06866,84.275375,305.48407,-0.70986885,72.01576,0.0,102.18637,2.783457,2.783457,1.6307086
