,RI_bar,RI_CI95,lower_bound,Drop
T air,0.3559697900704182,0.1352765758198205,0.22069321425059768,3.2161921542546033
Rn,0.3957066748486888,0.0834140281803373,0.31229264666835155,3.2161921542546033
Wind dir,0.5485418247882398,0.0402857328106874,0.5082560919775524,3.2161921542546033
PPFD,0.6548654669089569,0.148783803154676,0.5060816637542809,3.2161921542546033
RH,0.6768727838949578,0.0920406552465373,0.5848321286484205,3.2161921542546033
Rand_Binary,0.8558152816575385,0.0787865600348531,0.7770287216226854,3.2161921542546033
Rand,0.942863087778896,0.1191982179197896,0.8236648698591065,3.2161921542546033
VPD,0.9951665728826,0.1756671500259734,0.8194994228566266,3.2161921542546033
Rand_Skew,1.417513784818169,0.1453710481971229,1.272142736621046,3.2161921542546033
T soil 5cm,1.4651497169821135,0.1702650418837215,1.294884675098392,3.2161921542546033
T soil 10cm,1.8297831980368064,0.345455358269549,1.4843278397672575,3.2161921542546033
u*,3.1429546208433865,0.6290480506009689,2.5139065702424177,3.2161921542546033
Wind speed,3.720431830784074,0.7141337888367799,3.006298041947294,3.2161921542546033
DOY,4.558361279494809,1.423842589384056,3.1345186901107533,3.2161921542546033
Water table,8.680076527848184,1.7965957726224149,6.8834807552257695,0.0
T soil 50cm,69.75992755836215,10.029872205354485,59.730055353007664,0.0
