,RI_bar,RI_CI95,lower_bound,upper_bound,Drop
Rand_VPD,0.0210498644880941,0.004053419152912,0.016996445335182103,0.0251032836410061,0.3083870021436429
Rand_PPFD Out,0.0235842076597037,0.003501037809373,0.0200831698503307,0.027085245469076702,0.3083870021436429
Rand_Wind speed,0.0245658980129412,0.0036772177204173,0.0208886802925239,0.028243115733358498,0.3083870021436429
Rand_Wind dir,0.0255863765601279,0.0020232937930703,0.0235630827670576,0.0276096703531982,0.3083870021436429
Rand_T air,0.0295188298294686,0.0025678426783946,0.026950987151074003,0.0320866725078632,0.3083870021436429
Rand_PPFD In,0.0328230028747254,0.0044994366214007,0.0283235662533247,0.0373224394961261,0.3083870021436429
Rand_Water table,0.0335629343341023,0.0045882592415982,0.028974675092504096,0.038151193575700494,0.3083870021436429
Rand_T soil 10cm,0.0344916952395559,0.0039603786810226,0.0305313165585333,0.0384520739205785,0.3083870021436429
Rand_T soil 5cm,0.049714530748342,0.0046187766983931,0.0450957540499489,0.0543333074467351,0.3083870021436429
Wind speed,0.3191242092053626,0.0251772799456511,0.2939469292597115,0.3443014891510137,0.3083870021436429
Wind dir,0.6803525385389128,0.1173655690886313,0.5629869694502815,0.797718107627544,0.0
Rn,1.183713162825149,0.1354297435953626,1.0482834192297863,1.3191429064205116,0.0
PPFD In,1.2472079541429133,0.1676066946962917,1.0796012594466216,1.414814648839205,0.0
Water table,5.013648396065793,0.1816762108930529,4.831972185172741,5.195324606958846,0.0
T air,6.878949486933081,0.1908503631956514,6.688099123737429,7.0697998501287325,0.0
T soil 5cm,14.331140863601242,0.3313951199257136,13.999745743675527,14.662535983526956,0.0
T soil 10cm,20.716938984891105,0.875054748850924,19.84188423604018,21.59199373374203,0.0
T soil 50cm,49.35402706404936,2.025797529208071,47.32822953484129,51.37982459325743,0.0
