,RI_bar,RI_CI95,lower_bound,upper_bound,Drop
Rand_Wind speed,0.1089166694089988,0.0094113934654307,0.0995052759435681,0.1183280628744295,1.8507902303161698
Rand_Rn,0.11007664186688,0.0106050289876616,0.09947161287921841,0.1206816708545416,1.8507902303161698
Rand_T air,0.1138882206269176,0.0169382136941886,0.096950006932729,0.1308264343211062,1.8507902303161698
Rand_Water table,0.1156688144234509,0.0080817957193997,0.1075870187040512,0.12375061014285059,1.8507902303161698
Rand_PPFD Out,0.1177291391885332,0.0116253860598651,0.1061037531286681,0.1293545252483983,1.8507902303161698
Rand_u*,0.1258966047365035,0.012275476293838,0.11362112844266549,0.13817208103034148,1.8507902303161698
Rand_Wind dir,0.1469190222359863,0.0119552445049944,0.13496377773099189,0.1588742667409807,1.8507902303161698
Rand_T soil 50cm,0.1551462128188405,0.0196176001335208,0.1355286126853197,0.1747638129523613,1.8507902303161698
Rand_T soil 10cm,0.1599252343445739,0.0142475957681323,0.1456776385764416,0.1741728301127062,1.8507902303161698
Rand_VPD,0.1633163748193798,0.0167236899701939,0.1465926848491859,0.1800400647895737,1.8507902303161698
Rand_T soil 5cm,0.1645386843375275,0.0187334500592625,0.145805234278265,0.18327213439679,1.8507902303161698
Rand_PPFD In,0.1948068982988075,0.0237468385532828,0.1710600597455247,0.2185537368520903,1.8507902303161698
Wind dir,0.5086923764217557,0.0311724234850077,0.477519952936748,0.5398647999067634,1.8507902303161698
Wind speed,0.9662731088545644,0.1194942848874569,0.8467788239671075,1.0857673937420214,1.8507902303161698
u*,1.1370600187521518,0.1921797797892679,0.9448802389628839,1.3292397985414197,1.8507902303161698
T air,1.3343830262448455,0.2762369130067835,1.058146113238062,1.610619939251629,1.8507902303161698
VPD,2.8646913432276224,0.1435072788046033,2.721184064423019,3.008198622032226,0.0
T soil 5cm,6.75007284773905,0.9471700780162652,5.802902769722785,7.697242925755315,0.0
Water table,7.567215808760625,0.4015968520952854,7.165618956665339,7.96881266085591,0.0
PPFD Out,7.683030147611198,0.6690921409543987,7.0139380066568,8.352122288565598,0.0
T soil 10cm,9.165299423129808,1.20936285118656,7.955936571943248,10.374662274316368,0.0
T soil 50cm,14.198437318076431,0.989637244969526,13.208800073106906,15.188074563045957,0.0
Rn,21.273030776783155,1.187188901951952,20.085841874831203,22.460219678735108,0.0
PPFD In,24.8749852872924,3.1970330560101976,21.6779522312822,28.0720183433026,0.0
