,RI_bar,RI_CI95,lower_bound,upper_bound,Drop
Rand_Rn,0.1361525076442134,0.0147182493330503,0.12143425831116311,0.1508707569772637,1.3430420015208229
Rand_PPFD Out,0.1373678236554845,0.0131502464947785,0.124217577160706,0.150518070150263,1.3430420015208229
Rand_Wind speed,0.1388767974380855,0.0170420122416909,0.12183478519639461,0.1559188096797764,1.3430420015208229
Rand_T air,0.1440871497429564,0.0146158831217458,0.12947126662121058,0.1587030328647022,1.3430420015208229
Rand_Wind dir,0.1548460317010017,0.0176894169125704,0.1371566147884313,0.1725354486135721,1.3430420015208229
Rand_Water table,0.1601864505996218,0.0105531445698774,0.1496333060297444,0.17073959516949921,1.3430420015208229
Rand_u*,0.1654889394596203,0.0162220573232313,0.149266882136389,0.18171099678285157,1.3430420015208229
Rand_T soil 50cm,0.1852427592227448,0.01680253206015,0.1684402271625948,0.2020452912828948,1.3430420015208229
VPD,3.017978032066888,0.1401845606371974,2.877793471429691,3.1581625927040853,0.0
T soil 5cm,7.517531699505037,1.3212098136016683,6.196321885903369,8.838741513106704,0.0
Water table,7.644935494451264,0.1882776856417929,7.456657808809472,7.833213180093057,0.0
T soil 10cm,9.067932507023023,0.9912615912449402,8.076670915778083,10.059194098267964,0.0
PPFD Out,9.862816452126546,1.1666897909723477,8.6961266611542,11.029506243098893,0.0
T soil 50cm,13.696500784199554,0.7261942015730264,12.970306582626527,14.42269498577258,0.0
Rn,18.587118349331323,1.6288653486924074,16.958253000638916,20.21598369802373,0.0
PPFD In,29.38293822183262,5.177694885355665,24.205243336476954,34.56063310718829,0.0
